Attribute,Count,Percentage
,,
Accessories,,
Choker,705,7.0500
Clown Nose,183,1.8300
Diamond Chain,170,1.7000
Diamond Earring,180,1.8000
Gimp Mask,556,5.5600
Gold Chain,386,3.8600
Gold Earring,371,3.7100
Mole,418,4.1800
Ninja Mask,423,4.2300
Silver Chain,791,7.9100
Silver Earring,845,8.4500
Ski Mask,386,3.8600
Spots,430,4.3000
,,
Background,,
Blue Grey,1966,19.6600
Dark Blue,1941,19.4100
Light Blue,1984,19.8400
Solana,200,2.0000
Teal,1982,19.8200
Violet,1927,19.2700
,,
Body,,
Aqua,977,9.7700
Blue,956,9.5600
Green,946,9.4600
Light Blue,1018,10.1800
Orange,1032,10.3200
Pink,996,9.9600
Purple,917,9.1700
Red,975,9.7500
Skele,117,1.1700
Solana Skin,117,1.1700
Teal,985,9.8500
Violet,964,9.6400
,,
Eyes,,
3D Glasses,318,3.1800
Aviator,306,3.0600
Aviator Blue,312,3.1200
Aviator Brown,333,3.3300
Blue Eye Shadow,137,1.3700
Cartier,161,1.6100
Chopped,172,1.7200
Circle Shades,157,1.5700
Clown Eyes,166,1.6600
Crying,169,1.6900
Cyclops,58,0.5800
Deal With It,279,2.7900
Demon,55,0.5500
Derp,185,1.8500
Eye Mask,164,1.6400
Eye patch,328,3.2800
Goblin,65,0.6500
Laser Eyes,59,0.5900
Laser Visor,158,1.5800
Mog Vipers,353,3.5300
Nerd Glasses,307,3.0700
Nouns Shades,256,2.5600
Pink Eye Shadow,147,1.4700
Punk Shades,313,3.1300
Purple Eye Shadow,185,1.8500
Regular Eyes,2227,22.2700
Rimless Cartier,56,0.5600
Smacked,163,1.6300
Solana Vipers,332,3.3200
Thug Shades Black,276,2.7600
Thug Shades Gold,332,3.3200
Thug Shades Purple,239,2.3900
Thug Shades Red,256,2.5600
Tiny Shades,129,1.2900
Tron Shades,327,3.2700
VR,175,1.7500
Visor,345,3.4500
,,
Facial Hair,,
5 O'Clock Shadow,303,3.0300
Beard,667,6.6700
Chin Strap,614,6.1400
Goatee,605,6.0500
Grey Long Beard,133,1.3300
Long Beard,332,3.3200
Moustache,636,6.3600
No Facial Hair,6080,60.8000
Soul Patch,630,6.3000
,,
Head,,
Admiral Hat,60,0.6000
Army Helmet,51,0.5100
Beanie,121,1.2100
Beats,53,0.5300
Black Bob,118,1.1800
Black DuRag,106,1.0600
Blonde Bob,120,1.2000
Blonde Short,120,1.2000
Blue Dad Hat Backward,130,1.3000
Blue Dad Hat Forward,125,1.2500
Blue DuRag,131,1.3100
Blue Fitted Backward,123,1.2300
Blue Fitted Forward,126,1.2600
Blue Headband,112,1.1200
Buzz Cut,123,1.2300
Clown Hair,46,0.4600
Cop Hat,125,1.2500
Cowboy Hat,120,1.2000
Crazy Hair,123,1.2300
Crown,16,0.1600
FTX Cap,60,0.6000
Fedora,121,1.2100
Firefighter Hat,90,0.9000
Flower,125,1.2500
Frumpy Hair,112,1.1200
Green Beret,134,1.3400
Green Mohawk,142,1.4200
Half Shaved,114,1.1400
Halo,15,0.1500
Heisenberg,113,1.1300
High Top Fade,112,1.1200
Hipster Hat,130,1.3000
Horns,61,0.6100
Lime Beanie,119,1.1900
Messy Hair,121,1.2100
Miner Hat,139,1.3900
Ninja Headband,131,1.3100
No Headwear,1866,18.6600
Orange Beanie,117,1.1700
Orange Headband,116,1.1600
Orange Side,114,1.1400
Pig Tails,110,1.1000
Pilot Helmet,88,0.8800
Pink Beanie,112,1.1200
Pink Mohawk,104,1.0400
Pink Wif Hat,109,1.0900
Pirate Hat,64,0.6400
Poke Hat,106,1.0600
Punk Hoodie,53,0.5300
Purple Dad Hat Backward,92,0.9200
Purple Dad Hat Forward,96,0.9600
Purple Fitted Backward,98,0.9800
Purple Fitted Forward,87,0.8700
Purple Hair,93,0.9300
Purple Headband,94,0.9400
Red Beret,136,1.3600
Red DuRag,114,1.1400
Red Headband,113,1.1300
Red Mohawk,98,0.9800
Roman Helmet,46,0.4600
SMB White Hat,131,1.3100
Sailor Hat,49,0.4900
Silky DuRag,120,1.2000
Skull Bandana,118,1.1800
Solana SMB Cap,69,0.6900
Sombrero,47,0.4700
Spikey,111,1.1100
Straight Blonde,106,1.0600
Straw Hat,118,1.1800
Super Saiyan,55,0.5500
Sweatband Blue,118,1.1800
Sweatband Red,116,1.1600
Tassle Hat,54,0.5400
Tiara,58,0.5800
Top Hat,128,1.2800
Turban,101,1.0100
Unicorn Horn,72,0.7200
Vampire Hair,127,1.2700
Viking Helmet,140,1.4000
Wild Hair,116,1.1600
Wild Hair White,132,1.3200
,,
Mouth,,
Blunt,495,4.9500
Buck Teeth,531,5.3100
Cigarette,540,5.4000
Drool,492,4.9200
Gold Grillz,243,2.4300
Happy,470,4.7000
Icy Grillz,243,2.4300
LSD,244,2.4400
N95 Mask,268,2.6800
No Mouth,1087,10.8700
Pipe,540,5.4000
Pizza,90,0.9000
Puke,106,1.0600
Regular,2598,25.9800
Sad,484,4.8400
Spliff,532,5.3200
Vape,515,5.1500
Wow,522,5.2200
